GP, 96.0171, RCP, rcp26, E, 0, OA, 0, Mode, 9, Adv,  2.7500
GP, 97.3416, RCP, rcp60, E, 0, OA, 0, Mode, 0, Adv,  3.0000
GP, 98.2749, RCP, rcp26, E, 0, OA, 0, Mode, 0, Adv,  3.0000
GP, 97.1199, RCP, rcp60, E, 0, OA, 0, Mode, 7, Adv,  3.0000
GP, 98.2549, RCP, rcp26, E, 0, OA, 0, Mode, 7, Adv,  3.0000
GP, 94.4337, RCP, rcp60, E, 0, OA, 0, Mode, 9, Adv,  3.0000
GP, 96.1543, RCP, rcp26, E, 0, OA, 0, Mode, 9, Adv,  3.0000
GP, 97.9346, RCP, rcp60, E, 0, OA, 0, Mode, 0, Adv,  3.5000
GP, 98.3531, RCP, rcp26, E, 0, OA, 0, Mode, 0, Adv,  3.5000
GP, 97.8962, RCP, rcp60, E, 0, OA, 0, Mode, 7, Adv,  3.5000
GP, 98.3424, RCP, rcp26, E, 0, OA, 0, Mode, 7, Adv,  3.5000
GP, 95.5436, RCP, rcp60, E, 0, OA, 0, Mode, 9, Adv,  3.5000
GP, 96.3053, RCP, rcp26, E, 0, OA, 0, Mode, 9, Adv,  3.5000
GP, 98.2243, RCP, rcp60, E, 0, OA, 0, Mode, 0, Adv,  4.0000
GP, 98.3867, RCP, rcp26, E, 0, OA, 0, Mode, 0, Adv,  4.0000
GP, 98.2103, RCP, rcp60, E, 0, OA, 0, Mode, 7, Adv,  4.0000
GP, 98.3785, RCP, rcp26, E, 0, OA, 0, Mode, 7, Adv,  4.0000
GP, 96.0744, RCP, rcp60, E, 0, OA, 0, Mode, 9, Adv,  4.0000
GP, 96.3721, RCP, rcp26, E, 0, OA, 0, Mode, 9, Adv,  4.0000
GP,  1.1000, RCP, rcp85, E, 0, OA, 0, Mode, 0, Adv,  0.0000
GP,  2.9575, RCP, rcp45, E, 0, OA, 0, Mode, 0, Adv,  0.0000
GP,  1.1000, RCP, rcp85, E, 0, OA, 0, Mode, 9, Adv,  0.0000
GP,  2.9575, RCP, rcp45, E, 0, OA, 0, Mode, 9, Adv,  0.0000
GP,  1.1457, RCP, rcp85, E, 0, OA, 0, Mode, 0, Adv,  0.5000
GP, 33.5033, RCP, rcp45, E, 0, OA, 0, Mode, 0, Adv,  0.5000
GP,  1.1243, RCP, rcp85, E, 0, OA, 0, Mode, 7, Adv,  0.5000
GP, 27.8090, RCP, rcp45, E, 0, OA, 0, Mode, 7, Adv,  0.5000
GP,  1.1019, RCP, rcp85, E, 0, OA, 0, Mode, 9, Adv,  0.5000
GP, 11.3423, RCP, rcp45, E, 0, OA, 0, Mode, 9, Adv,  0.5000
GP,  1.1747, RCP, rcp85, E, 0, OA, 0, Mode, 0, Adv,  0.6250
GP, 50.3634, RCP, rcp45, E, 0, OA, 0, Mode, 0, Adv,  0.6250
GP,  1.1421, RCP, rcp85, E, 0, OA, 0, Mode, 7, Adv,  0.6250
GP, 43.5359, RCP, rcp45, E, 0, OA, 0, Mode, 7, Adv,  0.6250
GP,  1.1074, RCP, rcp85, E, 0, OA, 0, Mode, 9, Adv,  0.6250
GP, 21.4462, RCP, rcp45, E, 0, OA, 0, Mode, 9, Adv,  0.6250
GP,  1.1857, RCP, rcp85, E, 0, OA, 0, Mode, 0, Adv,  0.7500
GP, 64.9101, RCP, rcp45, E, 0, OA, 0, Mode, 0, Adv,  0.7500
GP,  1.1358, RCP, rcp85, E, 0, OA, 0, Mode, 7, Adv,  0.7500
